nem*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
actasrv-client,3.5.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
actasrv-client13,3.5.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
activation,1.0.2,CDDL-1.0,,,,Java,,,
aopalliance,1.0.0,Public Domain,,,,Java,,,
aspectjrt,1.7.2,EPL-1.0,,,,Java,,,
aspectjweaver,1.7.2,EPL-1.0,,,,Java,,,
axis-1.4.csi,1.0.0,Libreria personalizzata CSI basata su axis-1.4 sotto licenza Apache 2.0,,,,Java,,,
axis-ant,1.4,Apache-2.0,,,,Java,,,
axis-jaxrpc,1.4,Apache-2.0,,,,Java,,,
barcode4j,2.1.0,Apache-2.0,,,,Java,,,
bcpkix-jdk15on,1.58,The Legion of the Bouncy Castle (MIT),,,,Java,,,
bcprov-jdk15on,1.58,The Legion of the Bouncy Castle (MIT),,,,Java,,,
bsh-1.2b7,1.2b7,LGPL-2.1,,,,Java,,,
castor-xml,1.3.3,Apache-2.0,,,,Java,,,
cglib,2.2.2,Apache-2.0,,,,Java,,,
commons-beanutils,1.9.1,Apache-2.0,,,,Java,,,
commons-codec,1.3,Apache-2.0,,,,Java,,,
commons-collections,3.2.2,Apache-2.0,,,,Java,,,
commons-digester,2.1,Apache-2.0,,,,Java,,,
commons-discovery,0.2,Apache-1.1,,,,Java,,,
commons-httpclient,3.1,Apache-2.0,,,,Java,,,
commons-io,2.5,Apache-2.0,,,,Java,,,
commons-lang,2.5,Apache-2.0,,,,Java,,,
commons-lang3,3.1,Apache-2.0,,,,Java,,,
commons-logging,1.1.1,Apache-2.0,,,,Java,,,
commons-net,3.6,Apache-2.0,,,,Java,,,
coop-diag,1.2.1,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
coop-trace,1.2.0,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,,,Java,,,
