name*@version*;license*;copyrights*;end-of-support;dependencies;language;repository;email;URL
acorn@4.0.13;MIT;;;;Javascript;;;github.com/acornjs/acorn
braces@1.8.5;MIT;Jon Schlinkert;;;Javascript;;;github.com/micromatch/braces
color-string@0.3.0;MIT;;;;Javascript;;;github.com/Qix-/color-string
content-disposition@0.5.3;MIT;;;;Javascript;;;github.com/jshttp/content-disposition
content-type@1.0.4;MIT;;;;Javascript;;;github.com/jshttp/content-type
debug@2.2.0;MIT;;;;Javascript;;;github.com/visionmedia/debug
electron-to-chromium@1.3.483;ISC;;;;Javascript;;;github.com/kilian/electron-to-chromium
ember-cli-string-utils@1.1.0;ISC;;;;Javascript;;;github.com/ember-cli/ember-cli-string-utils
engine.io-client@1.8.3;MIT;;;;Javascript;;;github.com/socketio/engine.io-client
escape-string-regexp@1.0.5;MIT;;;;Javascript;;;github.com/sindresorhus/escape-string-regexp
extend-shallow@2.0.1;MIT;"Jon Schlinkert,Blaine Bublitz,Peter deHaan";;;Javascript;;;github.com/jonschlinkert/extend-shallow
faye-websocket@0.11.3;Apache-2.0;;;;Javascript;;;github.com/faye/faye-websocket-node
handlebars@1.3.0;MIT;Yehuda Katz;;;Javascript;;;github.com/wycats/handlebars.js
has-unicode@2.0.1;ISC;;;;Javascript;;;github.com/iarna/has-unicode
hoek@2.16.3;BSD-3-Clause;;;;Javascript;;;github.com/hapijs/hoek
http-proxy@1.18.0;MIT;"Charlie Robbins,  Jarrett Cruger & the Contributors";;;Javascript;;;github.com/http-party/node-http-proxy
https-proxy-agent@1.0.0;MIT;;;;Javascript;;;github.com/TooTallNate/node-https-proxy-agent
indent-string@2.1.0;MIT;;;;Javascript;;;github.com/sindresorhus/indent-string
is-string@1.0.5;MIT;;;;Javascript;;;github.com/inspect-js/is-string
jquery@3.3.1;MIT;The jQuery Foundation.;;;Javascript;;;github.com/jquery/jquery
jquery@3.5.1;MIT;The jQuery Foundation.;;;Javascript;;;github.com/jquery/jquery
karma-cli@1.0.1;MIT;;;;Javascript;;;github.com/karma-runner/karma-cli
lodash.camelcase@4.3.0;MIT;;;;Javascript;;;github.com/lodash/lodash
lodash.clonedeep@4.5.0;MIT;;;;Javascript;;;github.com/lodash/lodash
lodash.memoize@4.1.2;MIT;;;;Javascript;;;github.com/lodash/lodash
lodash.tail@4.1.1;MIT;;;;Javascript;;;github.com/lodash/lodash
lodash.uniq@4.5.0;MIT;;;;Javascript;;;github.com/lodash/lodash
lodash@3.10.1;MIT;;;;Javascript;;;github.com/lodash/lodash
magic-string@0.22.5;MIT;;;;Javascript;;;github.com/rich-harris/magic-string
merge-descriptors@1.0.1;MIT;;;;Javascript;;;github.com/component/merge-descriptors
minimist@0.0.10;MIT;Not declared;;;Javascript;;;github.com/substack/minimist
moment-timezone@0.4.1;MIT;;;;Javascript;;;github.com/moment/moment-timezone
node-sass@4.14.1;MIT;;;;;;;github.com/sass/node-sass
npm-run-path@2.0.2;MIT;;;;Javascript;;;github.com/sindresorhus/npm-run-path
parsejson@0.0.3;MIT;;;;Javascript;;;github.com/galkn/parsejson
regenerate-unicode-properties@8.2.0;MIT;;;;Javascript;;;github.com/mathiasbynens/regenerate-unicode-properties
repeat-string@1.6.1;MIT;;;;Javascript;;;github.com/jonschlinkert/repeat-string
require-from-string@1.2.1;MIT;;;;Javascript;;;github.com/floatdrop/require-from-string
serialize-javascript@1.9.1;BSD-3-Clause;Yahoo! Inc.;;;Javascript;;;github.com/yahoo/serialize-javascript
socket.io-adapter@0.5.0;MIT;;;;;;;
sockjs@0.3.18;MIT;;;;Javascript;;;github.com/sockjs/sockjs-node
